date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
2023-09-03T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,0,0,Athletic Club II,Match Finished
2023-09-03T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Brea,0,0,Barbastro,Match Finished
2023-09-03T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Gernika,1,1,Izarra,Match Finished
2023-09-03T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Sociedad III,1,0,Valle Egüés,Match Finished
2023-09-03T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Náxara,0,1,Deportivo Alavés II,Match Finished
2023-09-03T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Tudelano,0,0,Real Zaragoza II,Match Finished
2023-09-03T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Calahorra,3,0,Mutilvera,Match Finished
2023-09-03T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barakaldo,6,0,San Juan,Match Finished
2023-09-03T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Utebo,0,2,Arenas Getxo,Match Finished
2023-09-09T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,0,1,Utebo,Match Finished
2023-09-09T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barbastro,0,0,UD Logroñés,Match Finished
2023-09-10T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Izarra,0,1,Brea,Match Finished
2023-09-09T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,0,1,Gernika,Match Finished
2023-09-10T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Deportivo Alavés II,1,0,Real Sociedad III,Match Finished
2023-09-10T09:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Zaragoza II,3,0,Náxara,Match Finished
2023-09-09T17:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Mutilvera,0,0,Tudelano,Match Finished
2023-09-09T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,San Juan,0,1,Calahorra,Match Finished
2023-09-09T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Arenas Getxo,1,1,Barakaldo,Match Finished
2023-09-16T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,4,0,Barbastro,Match Finished
2023-09-17T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,4,1,Izarra,Match Finished
2023-09-16T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Brea,1,2,Valle Egüés,Match Finished
2023-09-17T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Gernika,3,1,Deportivo Alavés II,Match Finished
2023-09-17T14:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Sociedad III,1,1,Real Zaragoza II,Match Finished
2023-09-17T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Náxara,0,1,Mutilvera,Match Finished
2023-09-17T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Tudelano,3,0,San Juan,Match Finished
2023-09-17T15:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Calahorra,0,1,Arenas Getxo,Match Finished
2023-09-24T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Izarra,0,1,Athletic Club II,Match Finished
2023-09-23T14:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,0,0,UD Logroñés,Match Finished
2023-09-24T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Deportivo Alavés II,5,0,Brea,Match Finished
2023-09-24T09:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Zaragoza II,1,1,Gernika,Match Finished
2023-09-23T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Mutilvera,0,0,Real Sociedad III,Match Finished
2023-09-23T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,San Juan,2,1,Náxara,Match Finished
2023-09-23T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Arenas Getxo,1,2,Tudelano,Match Finished
2023-09-24T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barakaldo,1,1,Calahorra,Match Finished
2023-10-01T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Gernika,1,1,Mutilvera,Match Finished
2023-09-30T15:45:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Sociedad III,4,0,San Juan,Match Finished
2023-10-01T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Náxara,0,0,Arenas Getxo,Match Finished
2023-10-01T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Tudelano,0,1,Barakaldo,Match Finished
2023-09-30T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Utebo,1,0,Calahorra,Match Finished
2023-10-01T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barbastro,2,3,Izarra,Match Finished
2023-09-30T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,3,1,Valle Egüés,Match Finished
2023-10-01T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,1,1,Deportivo Alavés II,Match Finished
2023-10-01T14:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Brea,0,1,Real Zaragoza II,Match Finished
2023-10-08T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Izarra,1,2,Utebo,Match Finished
2023-10-07T14:15:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,3,0,Barbastro,Match Finished
2023-10-08T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Deportivo Alavés II,0,2,Athletic Club II,Match Finished
2023-10-08T09:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Zaragoza II,1,1,UD Logroñés,Match Finished
2023-10-07T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Mutilvera,1,2,Brea,Match Finished
2023-10-08T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,San Juan,0,0,Gernika,Match Finished
2023-10-07T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Arenas Getxo,0,2,Real Sociedad III,Match Finished
2023-10-08T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barakaldo,1,0,Náxara,Match Finished
2023-10-08T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Calahorra,0,2,Tudelano,Match Finished
2023-10-15T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Izarra,0,2,Valle Egüés,Match Finished
2023-10-15T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barbastro,3,2,Deportivo Alavés II,Match Finished
2023-10-14T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,2,0,Real Zaragoza II,Match Finished
2023-10-15T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,3,0,Mutilvera,Match Finished
2023-10-14T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Brea,1,0,San Juan,Match Finished
2023-10-15T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Gernika,2,2,Arenas Getxo,Match Finished
2023-10-14T18:15:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Sociedad III,0,1,Barakaldo,Match Finished
2023-10-15T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Náxara,0,1,Calahorra,Match Finished
2023-10-21T14:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,0,1,Utebo,Match Finished
2023-10-22T10:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Deportivo Alavés II,3,1,Izarra,Match Finished
2023-10-22T09:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Zaragoza II,0,2,Barbastro,Match Finished
2023-10-21T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Mutilvera,0,3,Athletic Club II,Match Finished
2023-10-21T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,San Juan,0,4,UD Logroñés,Match Finished
2023-10-22T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Arenas Getxo,0,0,Brea,Match Finished
2023-10-22T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barakaldo,3,3,Gernika,Match Finished
2023-10-22T15:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Calahorra,0,2,Real Sociedad III,Match Finished
2023-10-22T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Tudelano,2,0,Náxara,Match Finished
2023-10-28T14:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Valle Egüés,0,2,Deportivo Alavés II,Match Finished
2023-10-29T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Izarra,1,3,Real Zaragoza II,Match Finished
2023-10-28T14:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Barbastro,0,0,Mutilvera,Match Finished
2023-10-29T10:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Athletic Club II,3,1,San Juan,Match Finished
2023-10-29T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,UD Logroñés,5,1,Arenas Getxo,Match Finished
2023-10-28T16:30:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Brea,0,2,Barakaldo,Match Finished
2023-10-28T16:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Gernika,2,0,Calahorra,Match Finished
2023-10-29T17:00:00+00:00,2023,Segunda División RFEF - Group 2,Spain,Real Sociedad III,1,2,Tudelano,Match Finished
